GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
320.0,103.0,7.5,12.0,Fall 2019,neu,2
309.0,102.0,82.0,33.0,Fall 2018,neu,2
320.0,99.0,8.24,25.0,Fall 2019,neu,2
305.0,107.0,75.0,24.0,Fall 2019,neu,2
323.0,110.0,7.8,12.0,Fall 2018,neu,2
311.0,105.0,8.61,-15.0,Fall 2020,neu,2
318.0,104.0,8.68,9.0,Fall 2019,neu,2
327.0,115.0,7.98,2.0,Fall 2019,neu,2
320.0,107.0,8.79,41.0,Fall 2019,neu,2
303.0,109.0,70.0,60.0,Fall 2019,neu,2
324.0,110.0,9.1,28.0,Fall 2018,neu,2
311.0,101.0,7.83,0.0,Fall 2019,neu,2
318.0,112.0,9.15,36.0,Fall 2018,neu,2
324.0,103.0,9.12,5.0,Fall 2019,neu,2
315.0,106.0,9.46,4.0,Fall 2019,neu,2
321.0,104.0,7.19,15.0,Fall 2019,neu,2
317.0,112.0,8.5,11.0,Fall 2019,neu,2
332.0,114.0,8.2,32.0,Fall 2019,neu,2
312.0,105.0,8.7,26.0,Fall 2019,neu,2
316.0,103.0,8.62,19.0,Fall 2019,neu,2
313.0,106.0,8.332,0.0,Fall 2019,neu,2
322.0,106.0,7.68,22.0,Fall 2019,neu,2
315.0,100.0,7.5,0.0,Fall 2019,neu,2
316.0,98.0,8.15,33.0,Fall 2019,neu,2
319.0,112.0,8.5,0.0,Fall 2019,neu,2
315.0,101.0,80.0,36.0,Fall 2019,neu,2
318.0,108.0,9.5,34.0,Fall 2019,neu,2
322.0,118.0,8.89,1.0,Fall 2019,neu,2
312.0,108.0,8.32,2.0,Fall 2019,neu,2
320.0,107.0,8.75,0.0,Fall 2019,neu,2
319.0,107.0,8.03,19.0,Fall 2019,neu,2
318.0,110.0,7.84,6.0,Fall 2019,neu,2
320.0,108.0,8.65,5.0,Fall 2019,neu,2
318.0,108.0,7.34,24.0,Fall 2019,neu,2
320.0,107.0,9.19,4.0,Fall 2019,neu,2
328.0,108.0,7.1,35.0,Fall 2019,neu,2
315.0,114.0,9.5,1.0,Fall 2019,neu,2
308.0,109.0,8.02,50.0,Fall 2019,neu,2
310.0,100.0,7.3,4.0,Fall 2019,neu,2
338.0,119.0,9.2,6.0,Fall 2019,neu,2
312.0,114.0,8.8,14.0,Fall 2019,neu,2
315.0,105.0,6.48,11.0,Fall 2019,neu,2
313.0,114.0,9.55,1.0,Fall 2019,neu,2
308.0,102.0,7.66,7.0,Fall 2019,neu,2
312.0,106.0,7.4,0.0,Fall 2019,neu,2
312.0,107.0,8.1,25.0,Fall 2019,neu,2
316.0,102.0,81.0,6.0,Fall 2019,neu,2
316.0,110.0,7.7,9.0,Fall 2019,neu,2
324.0,112.0,8.6,39.0,Fall 2019,neu,2
324.0,108.0,8.22,30.0,Fall 2019,neu,2
317.0,114.0,76.1,10.0,Fall 2019,neu,2
310.0,101.0,7.98,0.0,Fall 2019,neu,2
320.0,103.0,7.6,26.0,Fall 2019,neu,2
329.0,108.0,8.45,16.0,Fall 2019,neu,2
316.0,101.0,8.76,0.0,Fall 2019,neu,2
321.0,105.0,73.0,9.0,Fall 2019,neu,2
316.0,100.0,8.64,0.0,Fall 2019,neu,2
317.0,111.0,72.2,36.0,Fall 2019,neu,2
318.0,100.0,77.8,30.0,Fall 2019,neu,2
318.0,109.0,8.702,0.0,Fall 2019,neu,2
311.0,102.0,9.16,16.0,Fall 2019,neu,2
319.0,110.0,80.0,14.0,Fall 2019,neu,2
325.0,110.0,8.6,33.0,Fall 2019,neu,2
320.0,104.0,8.65,24.0,Fall 2019,neu,2
312.0,107.0,8.65,16.0,Fall 2019,neu,2
320.0,101.0,8.59,17.0,Fall 2019,neu,2
327.0,109.0,7.18,30.0,Fall 2019,neu,2
314.0,104.0,7.4,43.0,Fall 2019,neu,2
319.0,110.0,7.84,24.0,Fall 2019,neu,2
317.0,100.0,7.45,33.0,Fall 2019,neu,2
326.0,110.0,7.4,31.0,Fall 2019,neu,2
327.0,109.0,8.32,8.0,Fall 2018,neu,2
320.0,102.0,8.55,22.0,Fall 2019,neu,2
314.0,105.0,8.67,14.0,Fall 2019,neu,2
322.0,108.0,8.09,32.0,Fall 2019,neu,2
306.0,101.0,8.97,60.0,Fall 2019,neu,2
324.0,113.0,8.91,31.0,Fall 2019,neu,2
313.0,103.0,68.0,27.0,Fall 2019,neu,2
316.0,105.0,8.56,24.0,Fall 2019,neu,2
313.0,113.0,8.75,6.0,Fall 2019,neu,2
317.0,106.0,9.06,0.0,Fall 2019,neu,2
311.0,102.0,8.52,28.0,Fall 2019,neu,2
305.0,109.0,9.08,6.0,Fall 2019,neu,2
322.0,109.0,7.49,20.0,Fall 2019,neu,2
310.0,100.0,8.4,48.0,Fall 2019,neu,2
311.0,107.0,74.0,60.0,Fall 2019,neu,2
320.0,103.0,8.98,4.0,Fall 2019,neu,2
321.0,0.0,9.0,6.0,Fall 2019,neu,2
318.0,113.0,80.0,0.0,Fall 2019,neu,2
317.0,104.0,8.58,6.0,Fall 2019,neu,2
316.0,106.0,7.67,28.0,Fall 2019,neu,2
315.0,108.0,9.06,1.0,Fall 2019,neu,2
321.0,109.0,7.9,44.0,Fall 2019,neu,2
321.0,106.0,9.13,29.0,Fall 2019,neu,2
329.0,114.0,73.22,18.0,Fall 2019,neu,2
320.0,104.0,9.66,2.0,Fall 2019,neu,2
319.0,110.0,7.84,60.0,Fall 2019,neu,2
314.0,108.0,9.32,2.0,Fall 2019,neu,2
314.0,107.0,7.63,18.0,Fall 2019,neu,2
314.0,109.0,7.4,24.0,Fall 2019,neu,2
322.0,108.0,70.0,7.0,Fall 2019,neu,2
307.0,104.0,9.2,1.0,Fall 2019,neu,2
325.0,107.0,6.8,29.0,Fall 2019,neu,2
306.0,114.0,83.0,0.0,Fall 2019,neu,2
313.0,110.0,77.9,7.0,Fall 2018,neu,2
309.0,101.0,9.5,0.0,Fall 2019,neu,2
317.0,109.0,7.2,26.0,Fall 2019,neu,2
321.0,109.0,79.8,27.0,Fall 2019,neu,2
315.0,109.0,9.72,1.0,Fall 2019,neu,2
318.0,114.0,8.14,33.0,Fall 2019,neu,2
309.0,109.0,8.43,30.0,Fall 2019,neu,2
322.0,110.0,9.1,3.0,Fall 2019,neu,2
327.0,0.0,9.36,0.0,Fall 2019,neu,2
299.0,109.0,72.48,55.0,Fall 2019,neu,2
321.0,109.0,7.5,0.0,Fall 2019,neu,2
304.0,106.0,68.0,16.0,Fall 2019,neu,2
317.0,118.0,8.75,15.0,Fall 2019,neu,2
328.0,114.0,7.47,17.0,Fall 2019,neu,2
318.0,100.0,81.65,14.0,Fall 2018,neu,2
331.0,115.0,67.07,46.0,Fall 2019,neu,2
320.0,106.0,8.23,0.0,Fall 2019,neu,2
310.0,105.0,8.45,5.0,Fall 2019,neu,2
327.0,117.0,8.2,16.0,Fall 2019,neu,2
309.0,101.0,8.74,24.0,Fall 2019,neu,2
317.0,114.0,72.77,24.0,Fall 2019,neu,2
322.0,114.0,7.61,63.0,Fall 2019,neu,2
313.0,109.0,8.92,12.0,Fall 2019,neu,2
314.0,111.0,74.0,52.0,Fall 2019,neu,2
321.0,100.0,8.4,3.0,Fall 2019,neu,2
318.0,109.0,67.9,49.0,Fall 2019,neu,2
317.0,105.0,8.48,30.0,Fall 2019,neu,2
318.0,114.0,7.36,34.0,Fall 2019,neu,2
315.0,109.0,7.52,13.0,Fall 2019,neu,2
313.0,100.0,7.68,20.0,Fall 2019,neu,2
317.0,102.0,8.76,13.0,Fall 2019,neu,2
318.0,104.0,8.53,0.0,Fall 2019,neu,2
312.0,107.0,7.4,17.0,Fall 2019,neu,2
326.0,100.0,7.1,0.0,Fall 2019,neu,2
320.0,113.0,73.94,82.0,Fall 2019,neu,2
316.0,107.0,7.97,4.0,Fall 2019,neu,2
322.0,108.0,7.9,60.0,Fall 2019,neu,2
325.0,112.0,8.45,5.0,Fall 2019,neu,2
318.0,108.0,8.29,18.0,Fall 2019,neu,2
318.0,101.0,8.12,7.0,Fall 2019,neu,2
322.0,105.0,7.78,9.0,Fall 2019,neu,2
308.0,109.0,7.75,12.0,Fall 2019,neu,2
313.0,101.0,7.5,18.0,Fall 2019,neu,2
310.0,100.0,82.0,36.0,Fall 2019,neu,2
327.0,106.0,85.2,17.0,Fall 2019,neu,2
318.0,101.0,7.3,12.0,Fall 2019,neu,2
327.0,111.0,8.66,22.0,Fall 2019,neu,2
312.0,105.0,74.0,22.0,Fall 2019,neu,2
