GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
321.0,113.0,8.8,2.0,Fall 2019,ncsu,2
333.0,114.0,9.02,2.0,Fall 2019,ncsu,2
328.0,105.0,8.25,36.0,Fall 2019,ncsu,2
318.0,104.0,8.68,9.0,Fall 2019,ncsu,2
316.0,101.0,7.7,12.0,Fall 2019,ncsu,2
314.0,108.0,79.83,5.0,Fall 2019,ncsu,2
325.0,106.0,8.43,2.0,Fall 2019,ncsu,2
316.0,108.0,8.17,36.0,Fall 2019,ncsu,2
323.0,116.0,9.3,22.0,Fall 2019,ncsu,2
323.0,111.0,8.9,3.0,Fall 2018,ncsu,2
320.0,103.0,8.98,4.0,Fall 2019,ncsu,2
316.0,102.0,81.0,6.0,Fall 2019,ncsu,2
328.0,112.0,9.37,0.0,Fall 2019,ncsu,2
319.0,111.0,9.23,14.0,Fall 2019,ncsu,2
325.0,106.0,73.0,8.0,Fall 2019,ncsu,2
325.0,114.0,9.37,9.0,Fall 2019,ncsu,2
323.0,109.0,8.93,0.0,Fall 2019,ncsu,2
312.0,108.0,9.24,2.0,Fall 2019,ncsu,2
323.0,106.0,9.1,19.0,Fall 2019,ncsu,2
319.0,111.0,8.8,90.0,Fall 2019,ncsu,2
321.0,107.0,72.0,27.0,Fall 2019,ncsu,2
317.0,103.0,79.3,12.0,Fall 2019,ncsu,2
331.0,110.0,9.5,9.0,Fall 2019,ncsu,2
321.0,108.0,9.0,25.0,Fall 2018,ncsu,2
322.0,113.0,9.03,3.0,Fall 2019,ncsu,2
327.0,112.0,9.01,4.0,Fall 2019,ncsu,2
310.0,109.0,9.52,5.0,Fall 2019,ncsu,2
328.0,109.0,8.15,9.0,Fall 2019,ncsu,2
325.0,114.0,7.39,27.0,Fall 2019,ncsu,2
329.0,100.0,82.0,65.0,Fall 2019,ncsu,2
331.0,116.0,72.9,37.0,Fall 2019,ncsu,2
316.0,100.0,9.0,40.0,Spring 2019,ncsu,2
316.0,109.0,7.8,0.0,Fall 2018,ncsu,2
323.0,109.0,7.97,24.0,Fall 2018,ncsu,2
333.0,118.0,8.84,6.0,Fall 2018,ncsu,2
320.0,99.0,7.7,13.0,Fall 2018,ncsu,2
323.0,108.0,8.82,15.0,Fall 2018,ncsu,2
311.0,99.0,7.95,7.0,Fall 2018,ncsu,2
327.0,108.0,87.96,12.0,Fall 2018,ncsu,2
312.0,99.0,8.62,36.0,Fall 2018,ncsu,2
329.0,101.0,7.77,9.0,Fall 2018,ncsu,2
315.0,99.0,8.27,36.0,Fall 2018,ncsu,2
322.0,115.0,8.5,2.0,Fall 2018,ncsu,2
323.0,111.0,70.0,18.0,Fall 2018,ncsu,2
323.0,119.0,8.13,0.0,Fall 2017,ncsu,2
319.0,115.0,3.57,0.0,Spring 2019,ncsu,2
324.0,112.0,9.01,0.0,Fall 2018,ncsu,2
300.0,94.0,78.0,24.0,Fall 2018,ncsu,2
316.0,114.0,8.34,0.0,Fall 2018,ncsu,2
323.0,108.0,9.0,33.0,Fall 2018,ncsu,2
320.0,0.0,79.9,25.0,Fall 2018,ncsu,2
311.0,110.0,8.49,16.0,Fall 2018,ncsu,2
327.0,107.0,74.0,9.0,Fall 2018,ncsu,2
320.0,0.0,68.0,30.0,Fall 2018,ncsu,2
312.0,93.0,91.0,8.0,Fall 2018,ncsu,2
318.0,112.0,78.0,2.0,Fall 2018,ncsu,2
325.0,116.0,8.3,0.0,Fall 2018,ncsu,2
325.0,113.0,7.87,45.0,Fall 2018,ncsu,2
323.0,95.0,7.84,30.0,Fall 2018,ncsu,2
335.0,0.0,9.72,3.0,Fall 2018,ncsu,2
330.0,116.0,8.19,0.0,Fall 2018,ncsu,2
321.0,117.0,89.75,2.0,Fall 2018,ncsu,2
313.0,109.0,9.41,2.0,Fall 2018,ncsu,2
316.0,101.0,8.68,22.0,Fall 2018,ncsu,2
299.0,98.0,8.8,24.0,Fall 2018,ncsu,2
313.0,107.0,9.04,3.0,Fall 2018,ncsu,2
316.0,104.0,8.4,8.0,Fall 2018,ncsu,2
311.0,100.0,68.2,26.0,Fall 2018,ncsu,2
331.0,118.0,9.53,0.0,Fall 2018,ncsu,2
318.0,97.0,8.57,37.0,Fall 2018,ncsu,2
319.0,111.0,8.9,0.0,Fall 2018,ncsu,2
326.0,0.0,9.07,0.0,Fall 2018,ncsu,2
322.0,108.0,85.0,0.0,Fall 2018,ncsu,2
327.0,116.0,8.52,19.0,Fall 2018,ncsu,2
313.0,105.0,9.33,2.0,Fall 2018,ncsu,2
317.0,107.0,8.41,18.0,Fall 2018,ncsu,2
320.0,103.0,9.04,12.0,Fall 2018,ncsu,2
319.0,112.0,7.35,32.0,Fall 2018,ncsu,2
324.0,108.0,75.23,0.0,Fall 2018,ncsu,2
331.0,0.0,9.06,21.0,Fall 2018,ncsu,2
317.0,100.0,9.5,60.0,Fall 2018,ncsu,2
322.0,110.0,8.21,36.0,Fall 2018,ncsu,2
322.0,116.0,8.0,13.0,Fall 2018,ncsu,2
312.0,100.0,8.29,37.0,Fall 2018,ncsu,2
319.0,114.0,8.68,2.0,Fall 2018,ncsu,2
313.0,0.0,75.73,26.0,Fall 2018,ncsu,2
322.0,107.0,8.9,39.0,Fall 2018,ncsu,2
324.0,0.0,7.98,2.0,Fall 2018,ncsu,2
325.0,117.0,8.43,2.0,Fall 2018,ncsu,2
